offer_id,name,description,Сезон,Коллекция,Рост,Стиль,Размер товара на фото,Рост модели на фото,Параметры модели на фото,Тип,Бренд в одежде и обуви,Российский размер,Пол,Страна-изготовитель,Вид принта,Инструкция по уходу,Материал подклада/внутренней отделки,Вид одежды,Тип застежки,Длина рукава,Тип упаковки одежды,Размер производителя,"Длина изделия, см","Длина рукава внешняя, см",Цвет,"Длина рукава по внутреннему шву, см",Материал,Количество в упаковке,Детали,Вид спорта,Серия в одежде и обуви
584005427,Рубашка Katty Po,"женская удлиненная рубашка оверсайз давно стала базовым элементом гардероба. благодаря свободному крою однотонная вельветовая рубашка будет эффектно смотреться на любой фигуре. большие размеры подойдут для беременных. рубашка женская оверсайз выполнена из мягкого вельвета, в составе которого 95% хлопок и 5% эластан. благодаря натуральному составу, oversize рубашка невероятно комфортна. рубашка теплая, при этом легкая и не сминается в процессе носки. спереди рубашка женская длинная застёгивается на пуговицы, имеются манжеты, один нагрудный карман и воротник. универсальность рубашки позволяет вписать ее в образ для офиса и школы, а так же в спортивный и casual стиль. если вы искали подарок для женщины, подарок девушке, жене, маме, сестре, то рубашка из вельвета прекрасно для этого подойдет. рубашка с длинным рукавом в стиле оверсайз дополнит любой повседневный образ. почувствуйте, как комфортна одежда для женщин от бренда katty po ",На любой сезон,Базовая коллекция,160-180,Повседневный,42,170 см,"89, 63, 91/170/42",Рубашка,Katty Po,42,Женский,Киргизия,Однотонный,Машинная стирка при 30 градусах,Хлопок,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,S,77,55,Песочный ,50,"['вельвет', 'хлопок', 'Вельвет', '95% хлопок, 5% эластан']",,,,
560122531,Блузка,"легкая, универсальная женская блузка выполнена из мягкой струящейся ткани. сохраняет форму и посадку даже после многочисленных стирок. разбавьте свой гардероб стильной блузкой, которая будет уместна в офисе, в учебном заведении и на торжественном мероприятии. трендовая модель подарит вам отличное настроение и поможет создать актуальный образ, а так же сделает вашу покупку приятной.",На любой сезон,Базовая коллекция,,Классический,44,165 см,87-61-93,Блузка,,48,Женский,Россия,Однотонный,Бережная стирка;Деликатный отжим,,,Без застежки,Без рукавов,Пакет,48,,,Черный,,"['туаль', 'лен', 'Полиэстер', 'эластан 5%, полиэстер 95%']",1,Воротник,,
509374399,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, без принта, вырез: рубашечный воротник.",На любой сезон,Весна-лето 2022,,Повседневный,44,172 см,,Рубашка,ТВОЕ,44,Женский,Бангладеш,Однотонный,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,S,81.5,,Белый,,"['Хлопок', '100% Хлопок', 'лен', 'хлопок']",,,,
318949926,Рубашка Mechtay,"классическая женская рубашка оверсайз (блузка белая женская) - стильное сочетание как строгого стиля с костюмом, брюками или галстуком, так и повседневного базового с джинсами или легинсами, юбкой или баской, с топом или корсетом, под свитер или жилетку.<br/><br/>длинный свободный рукав, классический воротник, застежки из пуговиц - основа базового женского гардероба и вашего лука на каждый день. стиль oversize (блузка белая оверсайз) - тренд 2021 года.<br/><br/>при бережной стирке рубашка не меняет свои свойства.<br/><br/>классическая женская рубашка (блузка женская однотонная с длинным рукавом) - незаменимая часть офисного гардероба девушки, удлиненная для комфортной носки.",На любой сезон,Весна-лето 2021,160-180,,42,170 см,S,Рубашка,Mechtay,40,Женский,Россия,Однотонный,Стирка при температуре не более 30 градусов,Без подклада,,Пуговицы/Пуговица,Длинный,Блистер,XS,62,48,"Белый, светло-серый",26,"['Поплин', 'хлопок - 100% ']",1,Манжеты,Танцы,
522888237,Блузка ТВОЕ,"блузка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. блузка, 100% хлопок, крой: cropped oversize, без принта.",На любой сезон,Весна-лето 2022,,Повседневный,,,178 см,Блузка,ТВОЕ,44,Женский,Китай,Однотонный,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,S,54,,Голубой,,"['лен', 'хлопок', 'Хлопок', '100% Хлопок']",,,,
407602001,Рубашка Katty Po,"пальто рубашки женские в клетку, куртки рубашки являются трендом уже не первый год и стали базовым элементом гардероба многих девушек и женщин. благодаря свободному крою утепленная рубашка женская в клетку будет эффектно смотреться на любой фигуре. спереди рубашка в клетку женская застёгивается на пуговицы, имеются манжеты, два кармана и воротник. рубашка куртка женская без подклада. оверсайз рубашка женская выполнена из приятной на ощупь ткани в составе которой 80% хлопка и 20% лавсана, что делает изделие теплым и износостойким. благодаря плотности ткани, мы рекомендуем использовать рубашку в качестве второго слоя, как куртку или пиджак на прохладное лето, позднюю весну или раннюю осень. женская рубашка теплая отлично смотрится с кроссовками, ботинками, а также подходит для любителей стиля спорт-шик. рубашка женская длинная в стиле оверсайз прекрасно дополнит любой повседневный образ. почувствуйте как комфортна одежда для женщин от бренда katty po",На любой сезон,Базовая коллекция,160-180,Повседневный,42,165 см,"87, 56, 88/165/42",Рубашка,Katty Po,50,Женский,Киргизия,Клетка,,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,XL,73,60,"Розовый, коричневый, белый",50,"['Драп', '80 % хлопок, 20% лавсан', 'лен']",,,,
450787103,Рубашка Pretty Woman Co,,Демисезон,Базовая коллекция,164-178,,42,168 см,83-61-90,Рубашка,Pretty Woman Co,40/44-158/176,Женский,Россия,Однотонный,Деликатная стирка при 30 градусах,Без подклада,для беременных,Пуговицы/Пуговица,Длинный,Пакет,"40,42,44",70,,Белый,,"['Хлопок', 'хлопок 30%, вискоза 30%, полиэстер 20%']",1,,Спортивная ходьба,
522888290,Блузка ТВОЕ,"блузка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. блузка, 100% хлопок, крой: cropped oversize, без принта.",На любой сезон,Весна-лето 2022,,Повседневный,,,178 см,Блузка,ТВОЕ,46,Женский,Китай,Однотонный,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,M,55,,Белый,,"['Хлопок', '100% Хлопок', 'лен', 'хлопок']",,,,
639945267,Рубашка Vintage Стиль. Бестселлеры,"белая женская рубашка из 100% хлопка. <br/><br/>свободная рубашка с застежкой на пуговицы и слегка расширенным книзу силуэтом: вы можете носить ее как поверх футболок и кроп-топов, так и как базовый элемент гардероба. выполнена из прочного и мягкого хлопка средней плотности, который отлично держит форму и создает объем. крой рубашки oversize, такая свобода кроя не будет сковывать движения и смоделирует фигуру, если это необходимо. качество ткани позволит чувствовать себя легко и комфортно. <br/><br/>знойным летом или дождливой осенью, эта рубашка незаменимая вещь в гардеробе.",На любой сезон,Базовая коллекция,160-180,Классический,42,170 см,89 х 63 х 90,Рубашка,Vintage,46,Женский,Россия,Однотонный,,Без подклада,,Пуговицы/Пуговица,Длинный,Пакет,М,76,56,"Белый, белоснежный, мраморный, мягкий белый, белый иней",41,"['Хлопок', 'Хлопок 100%']",1,Воротник,,Стиль. Бестселлеры
319199736,Блузка Cosagach,"нарядная блузка в стиле бохо является базовой и отлично впишется в офисный, школьный и повседневный гардероб. большой размерный ряд от очень маленьких до больших размеров. гладкая фактура материла, хорошо держит форму, не мнется, хорошо отстирывается, легко гладится, благодаря своему составу из полиэстрера с добавлением натуральной ткани (вискозы). прямой крой, спущенная линий плеча, блузу украшают воланы. застежка на пуговицах, дополнительная пуговица находится на уходнике. чтобы подчеркнуть фигуру, можно носить в заправленном виде с брюками, джинсами, юбками, или же можно носить в расправленном виде для создания легкого и непринужденного образа.",Лето,Весна-лето 2022,,,42,174 см,82-62-90,Блузка,Cosagach,40,Женский,,,,,,Пуговицы/Пуговица,Длинный,Пакет,,,,Белый,,"['Полиэстер', 'эластан 5%, вискоза 30%, полиэстер 65%', 'лен', 'вискоз']",1,,,
410665541,Рубашка PARETO,"качественная рубашка oversize из плотного хлопка в стиле сафари. свободная и удлиненная, стильная рубашка - оверсайз может быть альтернативой нашей классической хлопковой рубашки из плотной ткани. рубашку можно носить как блузку, а можно носить как второй слой поверх футболки или топа. идеально сочетается с шортами и короткими топами, леггинсами, джинсами, брюками и юбками, а так же прекрасное дополнение к образу для отдыха.<br/><br/>рубашка - oversize и это означает, что рубашка очень свободная, если вы любите изделия меньшего объёма, то рекомендуем к заказу на размер меньше.<br/><br/>сделано в россии по итальянской лицензии.<br/><br/>прекрасно подойдет на день рождение, на вечер, в офис, на праздник, на прогулку, на каждый день.<br/><br/>белая рубашка, белая рубашка женская длинная, белая рубашка женская оверсайз, белая рубашка женская офисная базовая, белая рубашка женская хлопок, женская рубашка, рубашка белая длинная женская, рубашка женская офисная, рубашка женская, рубашка белая офисная, рубашка белая женская удлиненная, женская рубашка, рубашка белая офисная, рубашка женская.",На любой сезон,Базовая коллекция,,,42,168 см,42,Рубашка,PARETO,44,Женский,Россия,,,,,Пуговицы/Пуговица,Длинный,Пакет,,75,52,Слоновая кость,,"['хлопок', '70%хлопок 30%полиэстер']",1,,,
313496441,Рубашка PARETO,"базовая рубашка с правильными оверсайз пропорциями. прямой крой, спущенная линия плеча. застежка на пуговицы. рубашка выполненна из плотной хлопковой ткани сатинового переплетения с добавлением полиэстра, чтобы изделие меньше мялось.<br/><br/>рубашка - oversize и это означает, что рубашка очень свободная, если вы любите изделия меньшего объёма, то рекомендуем к заказу на размер меньше.<br/><br/>сделано в россии по итальянской лицензии.<br/><br/>прекрасно подойдет на день рождение, на вечер, в офис, на праздник, на прогулку, на каждый день.<br/><br/>белая рубашка, белая рубашка женская длинная, белая рубашка женская оверсайз, белая рубашка женская офисная базовая, белая рубашка женская хлопок, женская рубашка, рубашка белая длинная женская, рубашка женская офисная, рубашка женская, рубашка белая офисная, рубашка белая женская удлиненная, женская рубашка, рубашка белая офисная, рубашка женская.",На любой сезон,Базовая коллекция,,,42,167 см,,Рубашка,PARETO,48,Женский,Россия,,,,,Пуговицы/Пуговица,Длинный,Пакет,,79,47,Слоновая кость,,"['70%хлопок, 30%полиэстер', 'сатин', 'лен', 'хлопок']",,,Спортивная ходьба,
509374321,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.",На любой сезон,Весна-лето 2022,,Повседневный,44,172 см,,Рубашка,ТВОЕ,42,Женский,Бангладеш,Однотонный,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,XS,79.5,,Белый,,"['лен', 'хлопок', 'Хлопок', '100% Хлопок']",,,,
356548885,Блузка SPARADA,"блуза комбинированная с гипюром. низ на широком манжете. приспущенный рукав. ткань- трикотаж с гладкой шелковистой фактурой. базовая вещь под жакет, пиджак или, как самостоятельная еденица гардероба.",На любой сезон,Базовая коллекция,,,,,,Блузка,SPARADA,54,Женский,Россия,,,,,,,Пакет,,,,Черный,,"['гипюр', 'трикотаж', 'шелк', '65% полиэстер, 30% вискоза, 5% эластан.']",,,,
535972636,Рубашка Весь мир моды,"белая рубашка женская оверсайз из тонкого хлопка с кокеткой на спине. базовая рубашка идеально подходит в капсульный базовый гардероб на весну, лето, осень и зиму. универсальная одежда для женщин, девушек, девочек и подростков, для беременных, кормящих и будущих мам, для офиса, школы и университета, на каждый день. дома, такая одежда будет служить вам, как ночная рубашка, можно устроить в ней романтический вечер со второй половинкой.<br/><br/>всесезонная модная одежда подходит для высоких и невысоких, свободная модель подойдет также для больших размеров.<br/><br/>&nbsp;удлиненная женская рубашка выполнена полукругом, сзади длиннее на 5см. рукав свободного кроя на манжете превращает в стильную рубашку.",На любой сезон,Весна-лето 2022,163-175,,44,164 см,84-70-95,Рубашка,,44,Женский,Киргизия,Однотонный,,,для беременных,Пуговицы/Пуговица,Длинный,Пакет,44-48,70,52,Чисто белый,,"['Хлопок', '100% хлопок']",1,Воротник,Пилатес,Весь мир моды
292189564,Рубашка Trendy Truth oversize,"белая рубашка давно стала синонимом респектабельности, воплощением классики и самой моды, отвоевав себе почетное место почти в каждой нашей коллекции. белая рубашка- выбор истинных женщин и девушек. офисная, школьная, домашняя, нарядная, праздничная, летняя, весенняя - все это про рубашку нашего бренда. это свободная одежда больших размеров для взрослых, подростков и беременных, которая подарит вам комфорт и уют. а стиль oversize с его объемными деталями сделает образ женственным и сексуальным. классическая однотонная приталенная женская блузка с длинным рукавом и воротом-стойка в размер- превосходный выбор в офис для женщин, а для девочки - школу. как на лето-весна, так и на зима-осеньименно хлопок, не шифон и муслин - идеальная дышащая ткань, ставшая основой нашей коллекции. именно у нас представлены модная зебра и леопардовая блуза, удлиненная черная оверсайз рубашка, а также белые укороченные модели, которые не оставят вас равнодушными.",На любой сезон,Весна-лето 2022,150-180,,42,168 см,89-62-92,Рубашка,Trendy Truth,44,Женский,Россия,Однотонный,,Cotton Peach,,Пуговицы/Пуговица,Длинный,Пакет,M,75,57,"Белый, белоснежный, мраморный, мягкий белый, белый иней",50,"['Хлопок', '100% хлопок', 'муслин', 'лен', 'хлопок', 'шифон']",1,,Ролики,oversize
565219382,Рубашка Fashion AnastatioN,,На любой сезон,Весна-лето 2022,160-180,,,160 см,,Рубашка,Fashion AnastatioN,38,Женский,Россия,Однотонный,,,оверсайз,Пуговицы/Пуговица,Длинный,,oversize S,80,,Черный,,"['Вискоза', '80 % вискоза, 20 % полиэстер']",,,,
451206612,Рубашка Pretty Woman Co,,Демисезон,Базовая коллекция,,,42,168 см,83-61-90,Рубашка,Pretty Woman Co,40/44-158/176,Женский,Россия,Однотонный,Деликатная стирка при 30 градусах,Без подклада,для кормления,Пуговицы/Пуговица,Длинный,Пакет,40;42;44,70,77,Черный,,"['Хлопок', 'хлопок 30%, вискоза 30%, полиэстер 20%']",1,,Спортивная ходьба,
481656925,Блузка Planestetica,,На любой сезон,Базовая коллекция,,,,,,Блузка,Planestetica,48,Женский,Киргизия,Однотонный,Бережная стирка при 30 гр,,,,,,,,,Коричневый,,['Хлопок 80% Полиэстер 20%'],,,,
509374491,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.",На любой сезон,Весна-лето 2022,,Повседневный,44,172 см,,Рубашка,ТВОЕ,42,Женский,Бангладеш,Однотонный,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,XS,82,,Белый,,"['Хлопок', '100% Хлопок', 'лен', 'хлопок']",,,,
622100403,Рубашка TRENDY.wear,"стильная женская клетчатая рубашка с клетчатым принтом, который никогда не потеряет свою актуальность. свободный крой рубашки позволит вам чувствовать себя максимально комфортно и тепло в любой обстановке. мягкий, натуральный материал приятно ощущается на коже, а современный дизайн прекрасно дополнит самые разные образы.",На любой сезон,Весна-лето 2021,150-180,Домашний,42,164 см,,Рубашка,TRENDY.wear,40,Женский,Россия,Клетка,Бережная стирка при t не более 30С,,прямая,,Длинный,Пакет,S,77,42,Синяя клетка,40,"['Полушерсть', 'хлопок 40%, шерсть 40%, акрил 20%', 'туаль']",1,,Спортивная ходьба,
617901120,Рубашка,,На любой сезон,Весна-лето 2022,155-180,Классический,42,165 см,78-56-84,Рубашка,,44,Женский,Кыргызстан,Горох,Бережная стирка до 30 градусов,Без подклада,свободная модель,Пуговицы/Пуговица,Длинный,Пакет,46,63,60,Розовый,50,"['Полиэстер', '100% полиэстер']",,,,
590912111,Блузка Finn Flare,,На любой сезон,Весна-лето 2022,176,Повседневный,44,178 см,84-57-88/178/S,Блузка,Finn Flare,50,Женский,Вьетнам,Однотонный,,Без подклада,с застежкой спереди,Пуговицы/Пуговица,Короткий,Пакет,XL(176-100-106),65,,Молочный,20.5,"['Вискоза', 'Основной материал: 100% вискоза']",1,,,
348032843,Рубашка OVS,,На любой сезон,Осень-зима 2021,,Повседневный,,,,Рубашка,OVS,44,Женский,Бангладеш,,,,,,,Пакет,INT M,,,Medium blue,,"['Хлопок', '98% хлопок 2% эластан']",,,,
589725070,Блузка GismoTop Одежда для женщин,,На любой сезон,Базовая коллекция,150-180,,44,173 см,(ОГ-ОТ-ОБ)     89-63-95    ,Блузка,GismoTop,44,Женский,Киргизия,Принт/Логотип,,Без подклада,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,44,55,,Белый,,"['Полиэстер', '100% полиэстер']",1,Манжеты,,Одежда для женщин
343607572,Блузка SPARADA,"блуза комбинированная с гипюром. низ на широком манжете. приспущенный рукав. ткань- трикотаж с гладкой шелковистой фактурой. базовая вещь под жакет, пиджак или, как самостоятельная еденица гардероба.",На любой сезон,Базовая коллекция,,,,,,Блузка,SPARADA,50,Женский,Россия,,,,,,,Пакет,,,,Синий,,"['65% полиэстер, 30% вискоза, 5% эластан.', 'гипюр', 'трикотаж', 'шелк']",,,,
598759612,Блузка DStrend,"лаконичная блузка с воротником в виде банта и рукавами с тонкими манжетами - отличный выбор для делового и повседневного гардероба. универсальная длина позволит носить ее и заправленной, и навыпуск, и даже с поясом, - решать только вам!",Демисезон,Весна-лето 2022,,,44,170 см,88 х 63 х 96 см.,Блузка,DStrend,44,Женский,Россия,,Бережная стирка при 30 градусах,,,,,,,,,Белый,,"['лен', '100 п/э']",,,,
598757615,Блузка DStrend,"классическая блузка с отложным воротничком и застежкой на пуговицах, казалось бы, классика, но и она может стать свежей и современной благодаря дизайнерским находкам. интересный выбор принтов и модные рукава, собранные патами, придают классике новое звучание. будьте на вершине трендов каждый день!",Демисезон,Весна-лето 2022,,,44,170 см,88 х 63 х 96 см.,Блузка,DStrend,54,Женский,Россия,,Бережная стирка при 30 градусах,,,,,,,,,Белый,,"['Хлопок', '100% хлопок']",,,,
511272407,Рубашка PN Market,"рекомендуем обратить внимание на размерный ряд в фото товара!правильная размерная сетка в фото товара!!! рубашка в горошек - оригинальная вещь женского гардероба. модель универсальная, базовая. <br/><br/>рубашка блузка женская хорошо смотрится под пиджак, брюки, юбку и джинсы. отлично подойдёт для офиса, школы, на праздничное мероприятие. крой свободный, слегка приталенный. ткань нежная, приятная тактильно к телу, не мнется, не просвечивает! <br/><br/>очень красивая блуза-рубашка в горошек, в которой вы будите выглядеть по-настоящему изысканной женщиной со вкусом.<br/><br/>рубашка женская, рубашка, рубашки женские, рубашка женская летняя, рубашка летняя женская, женская рубашка, женские рубашки, женские блузки и рубашки, летняя рубашка женская, рубашка женская оверсайз, рубашка оверсайз женская",На любой сезон,Базовая коллекция,,Классический,42,164 см,89-59-90,Рубашка,PN Market,46,Женский,Кыргызстан,Горох,Стирка при t не более 30°С; щадящий режим отжима,,свободная модель,Пуговицы/Пуговица,Длинный,Пакет,L,,,Фисташковый,,"['лен', 'Вискоза', '55% Вискоза / 45% Полиэстер ']",1,,,
309090741,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. ",На любой сезон,Осень-зима 2021,,Повседневный,44,172 см,,Рубашка,ТВОЕ,48,Женский,Китай,Однотонный,стирка при t не более 30С; щадящий режим отжима,,прямая,Пуговицы/Пуговица,Длинный,Пакет,L,69,,Белый,,"['лен', 'Полиэстер', '80% Полиэстер; 20% Хлопок']",,,,
607090881,Рубашка Margo VITA,"базовая женская рубашка оверсайз - универсальная вещь в гардеробе современной модницы. женская рубашка прекрасно подходит для офиса, учёбы, повседневной носки. позволит каждой девушке выглядеть свежо и уверенно, актуальна и как блузка женская праздничная. белая рубашка из хлопка комфортная к телу, пропускает воздух и впитывает влагу, выполнена из натурального материала. как одежда свободного кроя она не сковывает движения, замечательно сшита, имеет удлинение сзади. классическая женская рубашка отлично подойдёт для работы и на каждый день в качестве стильной домашней одежды. на официальное мероприятие, для свиданий или для создания вечернего образа подойдёт женская базовая блузка. базовая рубаха женская отлично сочетается с джинсами, брюками, юбка карандаш. модель рубашка бойфренд, подойдет также обладательницам пышных форм и беременным будущим мамам. легко гладится, без лишних деталей. подходит для создания базового гардероба и базовой капсулы, для пляжа удлиненная, школьная для девочек, с длинным рукавом ,для офиса, как второй слой поверх футболки или топа.",На любой сезон,Базовая коллекция,155-180,,44-46,175 см,90-61-92,Рубашка,Margo,универсальный,Женский,Киргизия,Однотонный,,,,Пуговицы/Пуговица,Длинный,Пакет,"42-46, oversize",72,48,Пурпурный,44,"['туаль', 'Хлопок', '100% хлопок ']",1,Воротник,,VITA
192712454,Рубашка MirrorStore,"комфортная рубашка выполнена из плотного хлопка (плотность ткани 160 гр. на метр), который будет сохранять обьем и фактуру после множества стирок. это очень важно для вещей из натуральных тканей, особенно белого цвета.<br/><br/>после первой стирки ткань станет чуть мягче.<br/><br/>рубашка в стиле oversize.<br/><br/>прямой крой, спущенная линия плеча, разрезы в боковых швах.<br/><br/>застежка на пуговицы скрыта под декоративной планкой.<br/><br/>параметры модели на фото: рост 175 см., обхват груди 82 см., обхват талии 60 см., обхват бедер 89 см.<br/><br/>на модели размер s-m.<br/><br/>длина изделия: 70 см.<br/><br/>длина изделия по спинке: 77 см.<br/><br/>длина плечевого шва от воротника: 72 см.<br/><br/>обхват талии: 108 см.<br/><br/>обхват бедер: 108 см.<br/><br/>большой накладной карман на груди (длина 15 см., высота 18,5 см.) расположен от плечевого шва на расстоянии 23 см. для размера s-m, 24 см. - для размера m-l.рубашка выполнена из плотной хлопковой ткани со сложным переплетением нитей.сделано в россии.",На любой сезон,Базовая коллекция,155-185,,42,175 см,,Рубашка,MirrorStore,44,Женский,Россия,,"Бережная стирка до 30 градусов, без отжима.",,,Пуговицы/Пуговица,Длинный,Пакет,M-L,80 см.,,Белый,,"['Хлопок', '95% хлопок, 5% лайкра.']",1,,,
617893591,Рубашка,,На любой сезон,Весна-лето 2022,155-185,,42,,78 - 60 - 88,Рубашка,,40,Женский,Россия,Однотонный,Бережная стирка при 30 градусах без отбеливания,,,Пуговицы/Пуговица,Длинный,Пакет,,68,44,Белый,,"['Хлопок', 'хлопок 50%, эластан 5%, полиэстер 45%']",1,,,
509374453,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.",На любой сезон,Весна-лето 2022,,Повседневный,44,172 см,,Рубашка,ТВОЕ,50,Женский,Бангладеш,Полоска,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,XL,83.5,,Сиреневый,,"['лен', 'хлопок', 'Хлопок', '100% Хлопок']",,,,
