offer_id,name,description,Сезон,Коллекция,Стиль,Тип,Бренд в одежде и обуви,Российский размер,Пол,Страна-изготовитель,Инструкция по уходу,Тип застежки,Тип упаковки одежды,Количество в упаковке,Размер производителя,Цвет,Материал,Размер товара на фото,Рост модели на фото,Параметры модели на фото,Материал подклада/внутренней отделки,Длина рукава,Длина подола,Талия,"Длина изделия, см",Вид принта,Вид одежды,Вид спорта,Серия в одежде и обуви,Рост,Детали
222698015,"Поло Lacoste, 1 шт","поло обязательный элемент любого гардероба. идеальный вариант для офисного дресс-кода. отлично сочетается как с джинсами, так и с брюками. выбери свою рубашку-поло от lacoste!",Демисезон,Осень-зима 2020,Повседневный,Поло,Lacoste,44,Женский,Турция,бережная стирка при 30 градусах,Пуговицы/Пуговица,Пакет,1,T38,Белый,"['Хлопок', '94%&nbsp;хлопок,&nbsp;6%&nbsp;эластан']",,,,,,,,,,,,,,
469109455,Футболка HUGO,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,HUGO,42,Женский,Португалия,,,Пакет,,S,Open miscellaneous,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
469112528,Футболка HUGO,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,HUGO,44,Женский,Португалия,,,Пакет,,M,Black,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
469109349,Футболка HUGO,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,HUGO,40,Женский,Португалия,,,Пакет,,XS,Open red,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
508383331,Сарафан NM-NOMO,"необыкновенно легкое, свободное и невесомое платье из тончайшей вискозы в стиле бохо сделает ваш образ стильным и неповторимым. платье представлено в 5 цветах.<br/><br/>платье бохо это комплект из двух изделий.<br/><br/>в упаковке 2 изделия: верхнее платье бохо и нижнее платье - подклад в виде комбинации.<br/><br/>платье можно носить с отдельным нижнем платьем из вискозы, а можно платье одеть на купальник, тонкая вискоза быстро сохнет и платье будет отличным дополнением к вашему купальнику. легкое платье из тонкой 100% вискозы, отдельное нижнее платье из 100% вискозы. параметры изделия l-xl: ширина изделия под проймой 60 см; длина изделия 136 см.",Лето,Весна-лето 2022,,Платье,NM-NOMO,52,Женский,Россия,,Пуговицы/Пуговица,Пакет,2,L-XL,Агатовый,"['лен', 'вискоз', 'Вискоза', 'Вискоза 100%']",44,170 см,89/61/90,Вискоза,Три четверти,удлиненная модель,Стандартная,136,,,,,,
508380078,Туника NM-NOMO,"необыкновенно легкое, свободное и невесомое платье из тончайшей вискозы в стиле бохо сделает ваш образ стильным и неповторимым. платье представлено в 5 цветах.<br/><br/>платье бохо это комплект из двух изделий.<br/><br/>в упаковке 2 изделия: верхнее платье бохо и нижнее платье - подклад в виде комбинации.<br/><br/>платье можно носить с отдельным нижнем платьем из вискозы, а можно платье одеть на купальник, тонкая вискоза быстро сохнет и платье будет отличным дополнением к вашему купальнику. легкое платье из тонкой 100% вискозы, отдельное нижнее платье из 100% вискозы. параметры изделия l-xl: ширина изделия под проймой 60 см; длина изделия 136 см.",Лето,Весна-лето 2022,,Платье,NM-NOMO,52,Женский,Россия,,Пуговицы/Пуговица,Пакет,2,L-XL,Чёрный,"['лен', 'вискоз', 'Вискоза', 'Вискоза 100%']",44,170 см,89/61/90,Вискоза,Три четверти,удлиненная модель,Стандартная,136,,,,,,
508380600,Туника NM-NOMO,"необыкновенно легкое, свободное и невесомое платье из тончайшей вискозы в стиле бохо сделает ваш образ стильным и неповторимым. платье представлено в 5 цветах.<br/><br/>платье бохо это комплект из двух изделий.<br/><br/>в упаковке 2 изделия: верхнее платье бохо и нижнее платье - подклад в виде комбинации.<br/><br/>платье можно носить с отдельным нижнем платьем из вискозы, а можно платье одеть на купальник, тонкая вискоза быстро сохнет и платье будет отличным дополнением к вашему купальнику. легкое платье из тонкой 100% вискозы, отдельное нижнее платье из 100% вискозы. параметры изделия l-xl: ширина изделия под проймой 60 см; длина изделия 136 см.",Лето,Весна-лето 2022,,Платье,NM-NOMO,52,Женский,Россия,,Пуговицы/Пуговица,Пакет,2,L-XL,Белый,"['Вискоза', 'Вискоза 100%', 'лен', 'вискоз']",44,170 см,89/61/90,Вискоза,Три четверти,удлиненная модель,Стандартная,136,,,,,,
508377873,Туника NM-NOMO,"необыкновенно легкое, свободное и невесомое платье из тончайшей вискозы в стиле бохо сделает ваш образ стильным и неповторимым. платье представлено в 5 цветах.<br/><br/>платье бохо это комплект из двух изделий.<br/><br/>в упаковке 2 изделия: верхнее платье бохо и нижнее платье - подклад в виде комбинации.<br/><br/>платье можно носить с отдельным нижнем платьем из вискозы, а можно платье одеть на купальник, тонкая вискоза быстро сохнет и платье будет отличным дополнением к вашему купальнику. легкое платье из тонкой 100% вискозы, отдельное нижнее платье из 100% вискозы. параметры изделия l-xl: ширина изделия под проймой 60 см; длина изделия 136 см.",Лето,Весна-лето 2022,,Платье,NM-NOMO,52,Женский,Россия,,Пуговицы/Пуговица,Пакет,2,L-XL,Жёлтый,"['лен', 'вискоз', 'Вискоза', 'Вискоза 100%']",44,170 см,89/61/90,Вискоза,Три четверти,удлиненная модель,Стандартная,136,,,,,,
469109376,Футболка HUGO The SlimTee,,Весна,Весна-лето 2022,Повседневный,Футболка,HUGO,44,Женский,Бангладеш,,,Пакет,,M,Medium grey,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,прямая,,,,
469109370,Футболка HUGO The SlimTee,,Весна,Весна-лето 2022,Повседневный,Футболка,HUGO,44,Женский,Бангладеш,,,Пакет,,M,Black,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,прямая,,,,
470717828,"Комплект футболок Calvin Klein Jeans, 2 шт",,На любой сезон,Весна-лето 2022,Повседневный,Комплект футболок,Calvin Klein Jeans,40,Женский,Шри-Ланка,,,Пакет,2,XL,Bright white,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,прямая,,,,
315857261,"Комплект футболок Calvin Klein Jeans, 2 шт",,На любой сезон,Весна-лето 2022,Повседневный,Комплект футболок,Calvin Klein Jeans,44,Женский,Шри-Ланка,,,Пакет,2,INT M,Ck black,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,прямая,,,,
406708941,Топ-бра adidas TRN HS ALPHA,"иди к своей цели уверенным шагом. от спарринга до самых безжалостных интервальных тренировок — этот спортивный бра adidas поможет тебе двигаться уверенно и комфортно. модель с высоким уровнем поддержки выполнена из гладкого, приятного на ощупь материала. ткань с технологией aeroready впитывает влагу во время высокоинтенсивных тренировок. широкие мягкие лямки равномерно распределяют нагрузку и не впиваются в кожу.<br>облегающий крой<br>глубокий круглый вырез; застежка на крючки<br><br>гладкий и прохладный на ощупь материал adiflex<br>впитывающая влагу ткань с технологией aeroready<br>х-образная спинка<br>",На любой сезон,Весна-лето 2022,Спортивный,Топ-бра,adidas,52,Женский,Вьетнам,,,Пакет,,XLDD,Shanav,"['Полиэстер', '79% полиэстер, 21% эластан']",,,,,,,,,,,Фитнес,,,
163262127,Топ-бра Reebok S Hero Power,,На любой сезон,Осень-зима 2022,Спортивный,Топ-бра,Reebok,44,Женский,Вьетнам,,,Пакет,,,Черный,"['Полиэстер', 'полиэстер 76%, эластан 24%']",,,,,,,,,,,Фитнес,S Hero Power,,
281908367,Туника KR,"стильная туника длиной ниже колен - идеальный вариант для создания множества современных образов. тунику можно носить самостоятельно или как дополнительную накидку с другими комплектами одежды. туника застёгивается по всей длине на пуговицы, по бокам предусмотрены пуговицы. укороченные рукава собраны патами. команда стиль кр знает, что красота не измеряется в сантиметрах, поэтому ниша нашего бренда - женская одежда больших размеров. нам всегда импонировала идея эксклюзивного образа, в связи с чем модели отшиваем небольшими партиями, детально прорабатывая каждое лекало перед запуском в производство. продукция kr сегодня - это комфортная женская одежда для праздника, дома, прогулок, а также офисная одежда для женщин, мечтающих получить трендовый look, учитывающий основные нюансы силуэта plus size.",Лето,Весна-лето 2021,Повседневный,Туника,KR,56,Женский,Россия,"бережная стирка при 30С, не замачивать",,Пакет,1,56,Хаки,"['лен', 'Штапель', 'вискоза-95% лайкра-5%']",56,174 см,56,,,миди,,,Однотонный,свободная модель,,,164-175,Карманы
478279493,Футболка Trussardi,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,Trussardi,42,Женский,Турция,,,Пакет,,S,Черный,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
553188665,Топ-бра adidas Tlrdim Hs,"иди к своей цели уверенным шагом. от спарринга до самых безжалостных интервальных тренировок — этот спортивный бра adidas поможет тебе двигаться уверенно и комфортно. модель с высоким уровнем поддержки выполнена из гладкого, приятного на ощупь материала. ткань с технологией aeroready впитывает влагу во время высокоинтенсивных тренировок. широкие мягкие лямки равномерно распределяют нагрузку и не впиваются в кожу.<br>облегающий крой<br>глубокий круглый вырез; застежка на крючки<br>гладкий и прохладный на ощупь материал adiflex<br>впитывающая влагу ткань с технологией aeroready<br>х-образная спинка",На любой сезон,Осень-зима 2022,Спортивный,Топ-бра,adidas,38,Женский,Вьетнам,,,Пакет,,2XSC,Black / white,"['Полиэстер', 'полиэстер 79%, эластан 21%']",,,,,,,,,,,Фитнес,,,
501013345,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,40,Женский,Индия,,,Пакет,,XS,Pure white,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
541371591,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,46,Женский,Индия,,,Пакет,,L,Aqua breeze,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
541371945,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,44,Женский,Индия,,,Пакет,,M,Peach creme,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
541513244,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,44,Женский,Индия,,,Пакет,,M,Jet black a996,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
501013236,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,42,Женский,Индия,,,Пакет,,S,Ballet pink,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
501013339,Футболка GUESS,,На любой сезон,Осень-зима 2022,Повседневный,Футболка,GUESS,40,Женский,Индия,,,Пакет,,XS,Light melange grey m,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
501013380,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,46,Женский,Индия,,,Пакет,,L,Celestite,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
537709464,Футболка GUESS Bessie Ss Cn Tee,,На любой сезон,Весна-лето 2022,Спортивный,Футболка,GUESS,48,Женский,Бангладеш,,,Пакет,,XL,Mint milkshake,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
537709463,Футболка GUESS Bessie Ss Cn Tee,,На любой сезон,Весна-лето 2022,Спортивный,Футболка,GUESS,48,Женский,Бангладеш,,,Пакет,,XL,Lovely lemon,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
611815966,Туника Luxury Plus,"туника свободного силуэта из штапеля в мелкий принт. перед и спинка с диагональным подрезом, дополненным сборкой и вертикальными вставками с расширением к низу. по переду, слева в шве подреза, подвесной карман. круглый вырез горловины обработан окантовкой. рукав втачной укороченной длины, с заниженной проймой. низ асимметричный, с разрезами в швах вставок.",На любой сезон,Весна-лето 2022,Повседневный,Туника,Luxury Plus,62,Женский,Россия,бережная машинная стирка при 30 С,Без застежки,Пакет,,62,Белый,"['Штапель', '100%вискоза']",56,175 см,112-94-120,Без подклада,Три четверти,,Завышенная,92,Цветочный,свободная модель,,,170,Карманы
219190235,Футболка HUGO,,,Весна-лето 2021,,Футболка,HUGO,42,Женский,,,,,,INT S,Open blue,['95% ХЛОПОК 5% ЭЛАСТАН'],,,,,Короткий,,,,,прямая,,,,
406706900,Футболка adidas W TIGR G OS T,,На любой сезон,Осень-зима 2022,Спортивный,Футболка,adidas,52,Женский,Индонезия,,,Пакет,,XL,Halsil,"['Хлопок', '100% хлопок']",,,,,,,,,,,,,,
463135607,"Комплект футболок Levi's 2Pack Tee, 2 шт",,На любой сезон,Осень-зима 2022,Повседневный,Комплект футболок,Levi's,48,Женский,Пакистан,,,Пакет,2,L,Ss 2 pack tee sta,"['Хлопок', '96% хлопок, 4% эластан,']",,,,,,,,,Принт/Логотип,,,,,
501013213,Футболка GUESS,,На любой сезон,Весна-лето 2022,Повседневный,Футболка,GUESS,42,Женский,Индия,,,Пакет,,S,New light lilac,"['Хлопок', '100% хлопок']",,,,,,,,,Принт/Логотип,,,,,
406709185,Топ-бра adidas PWI MS,"продолжай совершенствоваться. самое время зажечь в этом спортивном бра adidas. сетчатые вставки в ключевых зонах улучшают циркуляцию воздуха и помогают не перегреваться во время hiit и кардио. модель выполнена из гладкой, прохладной на ощупь ткани adiflex. технология aeroready сохраняет кожу сухой. бра нигде не натирает благодаря продуманному дизайну. только приятная поддержка и комфорт.<br>облегающий крой<br>модель с круглым вырезом, надевается через голову<br><br>гладкий и прохладный на ощупь материал adiflex<br>впитывающая влагу ткань с технологией aeroready<br>х-образный крой спинки<br>",На любой сезон,Осень-зима 2022,Спортивный,Топ-бра,adidas,46,Женский,Вьетнам,,,Пакет,,MAC,Legbur,"['Полиэстер', '79% полиэстер, 21% эластан']",,,,,,,,,,,Фитнес,,,
406708942,Топ-бра adidas PWI MS,,На любой сезон,Осень-зима 2022,Спортивный,Топ-бра,adidas,46,Женский,Вьетнам,,,Пакет,,MAC,Magmau,"['Полиэстер', '79% полиэстер, 21% эластан']",,,,,,,,,,,Фитнес,,,
406709059,Топ-бра adidas PWI MS,"продолжай совершенствоваться. самое время зажечь в этом спортивном бра adidas. сетчатые вставки в ключевых зонах улучшают циркуляцию воздуха и помогают не перегреваться во время hiit и кардио. модель выполнена из гладкой, прохладной на ощупь ткани adiflex. технология aeroready сохраняет кожу сухой. бра нигде не натирает благодаря продуманному дизайну. только приятная поддержка и комфорт.<br>облегающий крой<br>модель с круглым вырезом, надевается через голову<br><br>гладкий и прохладный на ощупь материал adiflex<br>впитывающая влагу ткань с технологией aeroready<br>х-образный крой спинки<br>",На любой сезон,Осень-зима 2022,Спортивный,Топ-бра,adidas,40,Женский,Вьетнам,,,Пакет,,XSAC,White,"['Полиэстер', '79% полиэстер, 21% эластан']",,,,,,,,,,,Фитнес,,,
